images,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,id
traicifar610000,0,0,0,0,0,0,1,0,0,0,610000
traicifar910001,0,0,0,0,0,0,0,0,0,1,910001
traicifar910002,0,0,0,0,0,0,0,0,0,1,910002
traicifar410003,0,0,0,0,1,0,0,0,0,0,410003
traicifar110004,0,1,0,0,0,0,0,0,0,0,110004
traicifar110005,0,1,0,0,0,0,0,0,0,0,110005
traicifar210006,0,0,1,0,0,0,0,0,0,0,210006
traicifar710007,0,0,0,0,0,0,0,1,0,0,710007
traicifar810008,0,0,0,0,0,0,0,0,1,0,810008
traicifar310009,0,0,0,1,0,0,0,0,0,0,310009
traicifar410010,0,0,0,0,1,0,0,0,0,0,410010
traicifar710011,0,0,0,0,0,0,0,1,0,0,710011
traicifar710012,0,0,0,0,0,0,0,1,0,0,710012
traicifar210013,0,0,1,0,0,0,0,0,0,0,210013
traicifar910014,0,0,0,0,0,0,0,0,0,1,910014
traicifar910015,0,0,0,0,0,0,0,0,0,1,910015
traicifar910016,0,0,0,0,0,0,0,0,0,1,910016
traicifar310017,0,0,0,1,0,0,0,0,0,0,310017
traicifar210018,0,0,1,0,0,0,0,0,0,0,210018
traicifar610019,0,0,0,0,0,0,1,0,0,0,610019
traicifar410020,0,0,0,0,1,0,0,0,0,0,410020
traicifar310021,0,0,0,1,0,0,0,0,0,0,310021
traicifar610022,0,0,0,0,0,0,1,0,0,0,610022
traicifar610023,0,0,0,0,0,0,1,0,0,0,610023
traicifar210024,0,0,1,0,0,0,0,0,0,0,210024
traicifar610025,0,0,0,0,0,0,1,0,0,0,610025
traicifar310026,0,0,0,1,0,0,0,0,0,0,310026
traicifar510027,0,0,0,0,0,1,0,0,0,0,510027
traicifar410028,0,0,0,0,1,0,0,0,0,0,410028
traicifar010029,1,0,0,0,0,0,0,0,0,0,10029
traicifar010030,1,0,0,0,0,0,0,0,0,0,10030
traicifar910031,0,0,0,0,0,0,0,0,0,1,910031
traicifar110032,0,1,0,0,0,0,0,0,0,0,110032
traicifar310033,0,0,0,1,0,0,0,0,0,0,310033
traicifar410034,0,0,0,0,1,0,0,0,0,0,410034
traicifar010035,1,0,0,0,0,0,0,0,0,0,10035
traicifar310036,0,0,0,1,0,0,0,0,0,0,310036
traicifar710037,0,0,0,0,0,0,0,1,0,0,710037
traicifar310038,0,0,0,1,0,0,0,0,0,0,310038
traicifar310039,0,0,0,1,0,0,0,0,0,0,310039
traicifar510040,0,0,0,0,0,1,0,0,0,0,510040
traicifar210041,0,0,1,0,0,0,0,0,0,0,210041
traicifar210042,0,0,1,0,0,0,0,0,0,0,210042
traicifar710043,0,0,0,0,0,0,0,1,0,0,710043
traicifar110044,0,1,0,0,0,0,0,0,0,0,110044
traicifar110045,0,1,0,0,0,0,0,0,0,0,110045
traicifar110046,0,1,0,0,0,0,0,0,0,0,110046
traicifar210047,0,0,1,0,0,0,0,0,0,0,210047
traicifar210048,0,0,1,0,0,0,0,0,0,0,210048
traicifar010049,1,0,0,0,0,0,0,0,0,0,10049
traicifar910050,0,0,0,0,0,0,0,0,0,1,910050
traicifar510051,0,0,0,0,0,1,0,0,0,0,510051
traicifar710052,0,0,0,0,0,0,0,1,0,0,710052
traicifar910053,0,0,0,0,0,0,0,0,0,1,910053
traicifar210054,0,0,1,0,0,0,0,0,0,0,210054
traicifar210055,0,0,1,0,0,0,0,0,0,0,210055
traicifar510056,0,0,0,0,0,1,0,0,0,0,510056
traicifar210057,0,0,1,0,0,0,0,0,0,0,210057
traicifar410058,0,0,0,0,1,0,0,0,0,0,410058
traicifar310059,0,0,0,1,0,0,0,0,0,0,310059
traicifar110060,0,1,0,0,0,0,0,0,0,0,110060
traicifar110061,0,1,0,0,0,0,0,0,0,0,110061
traicifar810062,0,0,0,0,0,0,0,0,1,0,810062
traicifar210063,0,0,1,0,0,0,0,0,0,0,210063
traicifar110064,0,1,0,0,0,0,0,0,0,0,110064
traicifar110065,0,1,0,0,0,0,0,0,0,0,110065
traicifar410066,0,0,0,0,1,0,0,0,0,0,410066
traicifar910067,0,0,0,0,0,0,0,0,0,1,910067
traicifar710068,0,0,0,0,0,0,0,1,0,0,710068
traicifar810069,0,0,0,0,0,0,0,0,1,0,810069
traicifar510070,0,0,0,0,0,1,0,0,0,0,510070
traicifar910071,0,0,0,0,0,0,0,0,0,1,910071
traicifar610072,0,0,0,0,0,0,1,0,0,0,610072
traicifar710073,0,0,0,0,0,0,0,1,0,0,710073
traicifar310074,0,0,0,1,0,0,0,0,0,0,310074
traicifar110075,0,1,0,0,0,0,0,0,0,0,110075
traicifar910076,0,0,0,0,0,0,0,0,0,1,910076
traicifar010077,1,0,0,0,0,0,0,0,0,0,10077
traicifar310078,0,0,0,1,0,0,0,0,0,0,310078
traicifar110079,0,1,0,0,0,0,0,0,0,0,110079
traicifar310080,0,0,0,1,0,0,0,0,0,0,310080
traicifar510081,0,0,0,0,0,1,0,0,0,0,510081
traicifar410082,0,0,0,0,1,0,0,0,0,0,410082
traicifar510083,0,0,0,0,0,1,0,0,0,0,510083
traicifar710084,0,0,0,0,0,0,0,1,0,0,710084
traicifar710085,0,0,0,0,0,0,0,1,0,0,710085
traicifar410086,0,0,0,0,1,0,0,0,0,0,410086
traicifar710087,0,0,0,0,0,0,0,1,0,0,710087
traicifar910088,0,0,0,0,0,0,0,0,0,1,910088
traicifar410089,0,0,0,0,1,0,0,0,0,0,410089
traicifar210090,0,0,1,0,0,0,0,0,0,0,210090
traicifar310091,0,0,0,1,0,0,0,0,0,0,310091
traicifar810092,0,0,0,0,0,0,0,0,1,0,810092
traicifar010093,1,0,0,0,0,0,0,0,0,0,10093
traicifar110094,0,1,0,0,0,0,0,0,0,0,110094
traicifar610095,0,0,0,0,0,0,1,0,0,0,610095
traicifar110096,0,1,0,0,0,0,0,0,0,0,110096
traicifar110097,0,1,0,0,0,0,0,0,0,0,110097
traicifar410098,0,0,0,0,1,0,0,0,0,0,410098
traicifar110099,0,1,0,0,0,0,0,0,0,0,110099
traicifar810100,0,0,0,0,0,0,0,0,1,0,810100
traicifar310101,0,0,0,1,0,0,0,0,0,0,310101
traicifar910102,0,0,0,0,0,0,0,0,0,1,910102
traicifar610103,0,0,0,0,0,0,1,0,0,0,610103
traicifar610104,0,0,0,0,0,0,1,0,0,0,610104
traicifar110105,0,1,0,0,0,0,0,0,0,0,110105
traicifar810106,0,0,0,0,0,0,0,0,1,0,810106
traicifar510107,0,0,0,0,0,1,0,0,0,0,510107
traicifar210108,0,0,1,0,0,0,0,0,0,0,210108
traicifar910109,0,0,0,0,0,0,0,0,0,1,910109
traicifar910110,0,0,0,0,0,0,0,0,0,1,910110
traicifar810111,0,0,0,0,0,0,0,0,1,0,810111
traicifar110112,0,1,0,0,0,0,0,0,0,0,110112
traicifar710113,0,0,0,0,0,0,0,1,0,0,710113
traicifar710114,0,0,0,0,0,0,0,1,0,0,710114
traicifar010115,1,0,0,0,0,0,0,0,0,0,10115
traicifar010116,1,0,0,0,0,0,0,0,0,0,10116
traicifar610117,0,0,0,0,0,0,1,0,0,0,610117
traicifar910118,0,0,0,0,0,0,0,0,0,1,910118
traicifar110119,0,1,0,0,0,0,0,0,0,0,110119
traicifar210120,0,0,1,0,0,0,0,0,0,0,210120
traicifar210121,0,0,1,0,0,0,0,0,0,0,210121
traicifar910122,0,0,0,0,0,0,0,0,0,1,910122
traicifar210123,0,0,1,0,0,0,0,0,0,0,210123
traicifar610124,0,0,0,0,0,0,1,0,0,0,610124
traicifar610125,0,0,0,0,0,0,1,0,0,0,610125
traicifar110126,0,1,0,0,0,0,0,0,0,0,110126
traicifar910127,0,0,0,0,0,0,0,0,0,1,910127
traicifar510128,0,0,0,0,0,1,0,0,0,0,510128
traicifar010129,1,0,0,0,0,0,0,0,0,0,10129
traicifar410130,0,0,0,0,1,0,0,0,0,0,410130
traicifar710131,0,0,0,0,0,0,0,1,0,0,710131
traicifar610132,0,0,0,0,0,0,1,0,0,0,610132
traicifar710133,0,0,0,0,0,0,0,1,0,0,710133
traicifar110134,0,1,0,0,0,0,0,0,0,0,110134
traicifar810135,0,0,0,0,0,0,0,0,1,0,810135
traicifar110136,0,1,0,0,0,0,0,0,0,0,110136
traicifar110137,0,1,0,0,0,0,0,0,0,0,110137
traicifar210138,0,0,1,0,0,0,0,0,0,0,210138
traicifar810139,0,0,0,0,0,0,0,0,1,0,810139
traicifar110140,0,1,0,0,0,0,0,0,0,0,110140
traicifar310141,0,0,0,1,0,0,0,0,0,0,310141
traicifar310142,0,0,0,1,0,0,0,0,0,0,310142
traicifar610143,0,0,0,0,0,0,1,0,0,0,610143
traicifar210144,0,0,1,0,0,0,0,0,0,0,210144
traicifar410145,0,0,0,0,1,0,0,0,0,0,410145
traicifar910146,0,0,0,0,0,0,0,0,0,1,910146
traicifar910147,0,0,0,0,0,0,0,0,0,1,910147
traicifar510148,0,0,0,0,0,1,0,0,0,0,510148
traicifar410149,0,0,0,0,1,0,0,0,0,0,410149
traicifar310150,0,0,0,1,0,0,0,0,0,0,310150
traicifar610151,0,0,0,0,0,0,1,0,0,0,610151
traicifar710152,0,0,0,0,0,0,0,1,0,0,710152
traicifar410153,0,0,0,0,1,0,0,0,0,0,410153
traicifar610154,0,0,0,0,0,0,1,0,0,0,610154
traicifar810155,0,0,0,0,0,0,0,0,1,0,810155
traicifar510156,0,0,0,0,0,1,0,0,0,0,510156
traicifar510157,0,0,0,0,0,1,0,0,0,0,510157
traicifar410158,0,0,0,0,1,0,0,0,0,0,410158
traicifar310159,0,0,0,1,0,0,0,0,0,0,310159
traicifar110160,0,1,0,0,0,0,0,0,0,0,110160
traicifar810161,0,0,0,0,0,0,0,0,1,0,810161
traicifar410162,0,0,0,0,1,0,0,0,0,0,410162
traicifar710163,0,0,0,0,0,0,0,1,0,0,710163
traicifar610164,0,0,0,0,0,0,1,0,0,0,610164
traicifar010165,1,0,0,0,0,0,0,0,0,0,10165
traicifar910166,0,0,0,0,0,0,0,0,0,1,910166
traicifar510167,0,0,0,0,0,1,0,0,0,0,510167
traicifar110168,0,1,0,0,0,0,0,0,0,0,110168
traicifar310169,0,0,0,1,0,0,0,0,0,0,310169
traicifar810170,0,0,0,0,0,0,0,0,1,0,810170
traicifar210171,0,0,1,0,0,0,0,0,0,0,210171
traicifar710172,0,0,0,0,0,0,0,1,0,0,710172
traicifar510173,0,0,0,0,0,1,0,0,0,0,510173
traicifar310174,0,0,0,1,0,0,0,0,0,0,310174
traicifar410175,0,0,0,0,1,0,0,0,0,0,410175
traicifar110176,0,1,0,0,0,0,0,0,0,0,110176
traicifar510177,0,0,0,0,0,1,0,0,0,0,510177
traicifar710178,0,0,0,0,0,0,0,1,0,0,710178
traicifar010179,1,0,0,0,0,0,0,0,0,0,10179
